26-06-03 22:59:08.330 [scheduling-1] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:36, serverValue:319368}] to ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017 
26-06-03 23:01:36.722 [cluster-ClusterId{value='6a2064f7d8087449ebb93d9e', description='null'}-ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:6, serverValue:319514}] to ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017 
26-06-03 23:01:36.722 [cluster-rtt-ClusterId{value='6a2064f7d8087449ebb93d9e', description='null'}-ac-tkvevuv-shard-00-01.2wfvvt9.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:5, serverValue:292639}] to ac-tkvevuv-shard-00-01.2wfvvt9.mongodb.net:27017 
26-06-03 23:01:36.722 [cluster-ClusterId{value='6a2064f7d8087449ebb93d9e', description='null'}-ac-tkvevuv-shard-00-00.2wfvvt9.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:4, serverValue:293193}] to ac-tkvevuv-shard-00-00.2wfvvt9.mongodb.net:27017 
26-06-03 23:01:36.722 [cluster-rtt-ClusterId{value='6a2064f7d8087449ebb93d9e', description='null'}-ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:319514}] to ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017 
26-06-03 23:01:36.722 [cluster-ClusterId{value='6a2064f7d8087449ebb93d9e', description='null'}-ac-tkvevuv-shard-00-01.2wfvvt9.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:292639}] to ac-tkvevuv-shard-00-01.2wfvvt9.mongodb.net:27017 
26-06-03 23:01:36.722 [cluster-rtt-ClusterId{value='6a2064f7d8087449ebb93d9e', description='null'}-ac-tkvevuv-shard-00-00.2wfvvt9.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:293193}] to ac-tkvevuv-shard-00-00.2wfvvt9.mongodb.net:27017 
26-06-03 23:01:36.724 [cluster-ClusterId{value='6a2064f7d8087449ebb93d9e', description='null'}-ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=748310500, setName='atlas-azlc8l-shard-0', canonicalAddress=ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017, hosts=[ac-tkvevuv-shard-00-00.2wfvvt9.mongodb.net:27017, ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017, ac-tkvevuv-shard-00-01.2wfvvt9.mongodb.net:27017], passives=[], arbiters=[], primary='ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='euw1-az1'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='EU_WEST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000164, setVersion=49, topologyVersion=TopologyVersion{processId=6a17383e9ac1754d85a54e74, counter=6}, lastWriteDate=Wed Jun 03 23:01:36 IST 2026, lastUpdateTimeNanos=179581211965800} 
26-06-03 23:01:36.724 [cluster-ClusterId{value='6a2064f7d8087449ebb93d9e', description='null'}-ac-tkvevuv-shard-00-00.2wfvvt9.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-tkvevuv-shard-00-00.2wfvvt9.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=748321200, setName='atlas-azlc8l-shard-0', canonicalAddress=ac-tkvevuv-shard-00-00.2wfvvt9.mongodb.net:27017, hosts=[ac-tkvevuv-shard-00-00.2wfvvt9.mongodb.net:27017, ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017, ac-tkvevuv-shard-00-01.2wfvvt9.mongodb.net:27017], passives=[], arbiters=[], primary='ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='euw1-az2'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='EU_WEST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=49, topologyVersion=TopologyVersion{processId=6a173937ce104076b302827f, counter=4}, lastWriteDate=Wed Jun 03 23:01:36 IST 2026, lastUpdateTimeNanos=179581211965700} 
26-06-03 23:01:36.724 [cluster-ClusterId{value='6a2064f7d8087449ebb93d9e', description='null'}-ac-tkvevuv-shard-00-01.2wfvvt9.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-tkvevuv-shard-00-01.2wfvvt9.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=748312600, setName='atlas-azlc8l-shard-0', canonicalAddress=ac-tkvevuv-shard-00-01.2wfvvt9.mongodb.net:27017, hosts=[ac-tkvevuv-shard-00-00.2wfvvt9.mongodb.net:27017, ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017, ac-tkvevuv-shard-00-01.2wfvvt9.mongodb.net:27017], passives=[], arbiters=[], primary='ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='euw1-az3'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='EU_WEST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=49, topologyVersion=TopologyVersion{processId=6a173a9ae8cae516c810b2e0, counter=3}, lastWriteDate=Wed Jun 03 23:01:36 IST 2026, lastUpdateTimeNanos=179581211965600} 
26-06-03 23:01:36.730 [cluster-ClusterId{value='6a2064f7d8087449ebb93d9e', description='null'}-ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max election id to 7fffffff0000000000000164 from replica set primary ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017 
26-06-03 23:01:36.730 [cluster-ClusterId{value='6a2064f7d8087449ebb93d9e', description='null'}-ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max set version to 49 from replica set primary ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017 
26-06-03 23:01:36.730 [cluster-ClusterId{value='6a2064f7d8087449ebb93d9e', description='null'}-ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017 
26-06-03 23:01:37.669 [main] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:7, serverValue:319441}] to ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017 
26-06-03 23:01:38.927 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@7dd45c93, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@374b6e33, org.springframework.security.web.context.SecurityContextPersistenceFilter@300bb303, org.springframework.security.web.header.HeaderWriterFilter@5c33008f, org.springframework.security.web.authentication.logout.LogoutFilter@2a7ebe07, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@4b691611, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7e0986c9, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@3b021664, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@7ed7ae, org.springframework.security.web.session.SessionManagementFilter@44864536, org.springframework.security.web.access.ExceptionTranslationFilter@701d2b59, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@3b4bd341] 
26-06-03 23:01:39.944 [main] INFO  c.j.Service.UserSchedulerTests - Started UserSchedulerTests in 6.829 seconds (JVM running for 8.987) 
