26-05-30 14:00:19.894 [main] INFO  o.s.b.t.c.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.journalLatest.JornalApplicationTests], using SpringBootContextLoader 
26-05-30 14:00:22.888 [cluster-ClusterId{value='6a1aa01e4cba2442ed4551ff', description='null'}-srv-cluster0.2wfvvt9.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017 to client view of cluster 
26-05-30 14:00:22.890 [cluster-ClusterId{value='6a1aa01e4cba2442ed4551ff', description='null'}-srv-cluster0.2wfvvt9.mongodb.net] INFO  org.mongodb.driver.cluster - Adding discovered server ac-tkvevuv-shard-00-00.2wfvvt9.mongodb.net:27017 to client view of cluster 
26-05-30 14:00:23.314 [main] INFO  org.mongodb.driver.cluster - No server chosen by com.mongodb.client.internal.MongoClientDelegate$1@5ac53c06 from cluster description ClusterDescription{type=REPLICA_SET, connectionMode=MULTIPLE, serverDescriptions=[ServerDescription{address=ac-tkvevuv-shard-00-01.2wfvvt9.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-tkvevuv-shard-00-00.2wfvvt9.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}, ServerDescription{address=ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017, type=UNKNOWN, state=CONNECTING}]}. Waiting for 30000 ms before timing out 
26-05-30 14:00:23.950 [cluster-ClusterId{value='6a1aa01e4cba2442ed4551ff', description='null'}-ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:2, serverValue:118272}] to ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017 
26-05-30 14:00:23.950 [cluster-rtt-ClusterId{value='6a1aa01e4cba2442ed4551ff', description='null'}-ac-tkvevuv-shard-00-01.2wfvvt9.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:6, serverValue:108582}] to ac-tkvevuv-shard-00-01.2wfvvt9.mongodb.net:27017 
26-05-30 14:00:23.950 [cluster-ClusterId{value='6a1aa01e4cba2442ed4551ff', description='null'}-ac-tkvevuv-shard-00-00.2wfvvt9.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:4, serverValue:108830}] to ac-tkvevuv-shard-00-00.2wfvvt9.mongodb.net:27017 
26-05-30 14:00:23.950 [cluster-ClusterId{value='6a1aa01e4cba2442ed4551ff', description='null'}-ac-tkvevuv-shard-00-01.2wfvvt9.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:1, serverValue:108581}] to ac-tkvevuv-shard-00-01.2wfvvt9.mongodb.net:27017 
26-05-30 14:00:23.950 [cluster-rtt-ClusterId{value='6a1aa01e4cba2442ed4551ff', description='null'}-ac-tkvevuv-shard-00-00.2wfvvt9.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:5, serverValue:108831}] to ac-tkvevuv-shard-00-00.2wfvvt9.mongodb.net:27017 
26-05-30 14:00:23.950 [cluster-rtt-ClusterId{value='6a1aa01e4cba2442ed4551ff', description='null'}-ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:3, serverValue:118272}] to ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017 
26-05-30 14:00:23.950 [cluster-ClusterId{value='6a1aa01e4cba2442ed4551ff', description='null'}-ac-tkvevuv-shard-00-01.2wfvvt9.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-tkvevuv-shard-00-01.2wfvvt9.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=590588400, setName='atlas-azlc8l-shard-0', canonicalAddress=ac-tkvevuv-shard-00-01.2wfvvt9.mongodb.net:27017, hosts=[ac-tkvevuv-shard-00-00.2wfvvt9.mongodb.net:27017, ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017, ac-tkvevuv-shard-00-01.2wfvvt9.mongodb.net:27017], passives=[], arbiters=[], primary='ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='euw1-az3'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='EU_WEST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=49, topologyVersion=TopologyVersion{processId=6a173a9ae8cae516c810b2e0, counter=3}, lastWriteDate=Sat May 30 14:00:24 IST 2026, lastUpdateTimeNanos=519252705122900} 
26-05-30 14:00:23.950 [cluster-ClusterId{value='6a1aa01e4cba2442ed4551ff', description='null'}-ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017, type=REPLICA_SET_PRIMARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=589892700, setName='atlas-azlc8l-shard-0', canonicalAddress=ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017, hosts=[ac-tkvevuv-shard-00-00.2wfvvt9.mongodb.net:27017, ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017, ac-tkvevuv-shard-00-01.2wfvvt9.mongodb.net:27017], passives=[], arbiters=[], primary='ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='euw1-az1'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='EU_WEST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=7fffffff0000000000000164, setVersion=49, topologyVersion=TopologyVersion{processId=6a17383e9ac1754d85a54e74, counter=6}, lastWriteDate=Sat May 30 14:00:24 IST 2026, lastUpdateTimeNanos=519252705122900} 
26-05-30 14:00:23.950 [cluster-ClusterId{value='6a1aa01e4cba2442ed4551ff', description='null'}-ac-tkvevuv-shard-00-00.2wfvvt9.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Monitor thread successfully connected to server with description ServerDescription{address=ac-tkvevuv-shard-00-00.2wfvvt9.mongodb.net:27017, type=REPLICA_SET_SECONDARY, state=CONNECTED, ok=true, minWireVersion=0, maxWireVersion=25, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=590588100, setName='atlas-azlc8l-shard-0', canonicalAddress=ac-tkvevuv-shard-00-00.2wfvvt9.mongodb.net:27017, hosts=[ac-tkvevuv-shard-00-00.2wfvvt9.mongodb.net:27017, ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017, ac-tkvevuv-shard-00-01.2wfvvt9.mongodb.net:27017], passives=[], arbiters=[], primary='ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017', tagSet=TagSet{[Tag{name='availabilityZone', value='euw1-az2'}, Tag{name='cacheState', value='READY'}, Tag{name='diskState', value='READY'}, Tag{name='nodeType', value='ELECTABLE'}, Tag{name='provider', value='AWS'}, Tag{name='region', value='EU_WEST_1'}, Tag{name='workloadType', value='OPERATIONAL'}]}, electionId=null, setVersion=49, topologyVersion=TopologyVersion{processId=6a173937ce104076b302827f, counter=4}, lastWriteDate=Sat May 30 14:00:24 IST 2026, lastUpdateTimeNanos=519252705122800} 
26-05-30 14:00:23.956 [cluster-ClusterId{value='6a1aa01e4cba2442ed4551ff', description='null'}-ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max election id to 7fffffff0000000000000164 from replica set primary ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017 
26-05-30 14:00:23.957 [cluster-ClusterId{value='6a1aa01e4cba2442ed4551ff', description='null'}-ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Setting max set version to 49 from replica set primary ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017 
26-05-30 14:00:23.957 [cluster-ClusterId{value='6a1aa01e4cba2442ed4551ff', description='null'}-ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017] INFO  org.mongodb.driver.cluster - Discovered replica set primary ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017 
26-05-30 14:00:24.848 [main] INFO  org.mongodb.driver.connection - Opened connection [connectionId{localValue:7, serverValue:118355}] to ac-tkvevuv-shard-00-02.2wfvvt9.mongodb.net:27017 
26-05-30 14:00:25.746 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@621624b1, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@7523d5a1, org.springframework.security.web.context.SecurityContextPersistenceFilter@54895681, org.springframework.security.web.header.HeaderWriterFilter@3cc3f13e, org.springframework.security.web.authentication.logout.LogoutFilter@28989415, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@112c2930, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@1796b2d4, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@589fb74d, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@2bfc2f8b, org.springframework.security.web.session.SessionManagementFilter@1471b98d, org.springframework.security.web.access.ExceptionTranslationFilter@a056b26, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@539fc5d1] 
26-05-30 14:00:26.806 [main] INFO  c.j.JornalApplicationTests - Started JornalApplicationTests in 6.536 seconds (JVM running for 7.908) 
